year,FIPS_state,cpi_1990,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj
2005,01,148.2347606502,63178417.0002398,6458115.87842569,41448285.989877,246726.098992573,29208778.947634,6701025.98816713,3741103.07105161,140266.177306295,3265578.36766303,199671.231275916
2005,02,148.2347606502,6115719.44206656,721101.324354233,4209754.46375314,41053.3965481531,2798372.11954687,833185.951749866,323902.446690575,45503.6362068562,317013.808127772,15555.1988937474
2005,04,148.2347606502,127042636.360247,12653502.6153884,87339828.7942551,259407.294027382,33415065.736426,10222386.5430155,40832708.4350288,37025033.7336113,3692775.15705383,78303.3133642912
2005,05,148.2347606502,36373465.2304296,3835855.64049071,23558549.3808953,703873.138467003,16908502.0209327,3459182.57195157,2156273.36774189,229388.856150869,2055811.86556684,562422.622249815
2005,06,148.2347606502,837377567.182485,80203059.3915309,590706067.107449,2668333.2015481,461617979.150466,66220985.0039694,38052686.257291,2219702.07415701,13628427.0114336,631975.667426048
2005,08,148.2347606502,69994674.8030044,6595425.13437669,46065821.4343033,795691.694842929,33286700.2878242,6008413.48774742,3981342.78431519,822538.524591443,2222750.43007409,398155.659775204
2005,09,148.2347606502,80058008.638189,8966474.88266031,46271675.1455016,43438.5290864406,33294797.8537721,7902782.35132494,2773433.75522259,234077.560386465,2507961.04700776,7046.13054170903
2005,10,148.2347606502,212584974.248825,36876875.9318214,138386214.405673,45772.2469732241,63152006.7628646,7086872.43611432,68525481.495716,56058123.1251049,4378045.74104637,8867.43179940996
2005,11,148.2347606502,24328310.6530866,2419592.1049271,14837500.8463125,15942.1078879613,9554076.65650381,2885329.83230043,1296887.29274734,51242.838307787,488821.683580855,3626.06045641359
2005,12,148.2347606502,362703092.456206,35845486.6311797,228341367.143123,359666.58148345,166821008.804477,33157357.6377941,14893315.1794705,425348.034460286,7946138.94062008,143238.304205497
2005,13,148.2347606502,154638668.316339,16257481.0410978,101311478.019057,376654.978510366,71989302.9700641,15628180.7555255,8089948.9908932,491790.493978467,5376218.32952973,262290.449625159
2005,15,148.2347606502,23902328.4948661,2840819.45306002,13323234.8205531,3940.03196624453,9307484.55281507,2106053.81179254,1348179.29543173,177930.748248546,563809.234795445,4138.96843358467
2005,16,148.2347606502,24347595.3305514,9870095.16289547,12377941.6470208,337838.943780381,6775494.44024631,3736084.88139711,927657.264131341,156833.500005233,698211.326697521,171170.441840742
2005,17,148.2347606502,342232021.654109,31828284.2985619,193971427.578861,2004706.05538773,120772636.281821,41534652.7009477,18298896.5857333,2869518.32084655,9651924.81331994,1527028.93499004
2005,18,148.2347606502,97784815.8102721,9540717.63268406,63589450.5356644,664618.393020046,45000959.4405179,10448898.3886698,5076209.97060305,662006.288980971,4045808.21868464,509749.868194625
2005,19,148.2347606502,46669500.6908395,4581140.43189727,32144609.4511784,2939139.10770109,20571288.7532103,5510421.02200204,2314441.05824005,283393.882801864,3079657.07458805,2556577.22680394
2005,20,148.2347606502,46586706.4131422,4505001.26833668,29451739.5252964,1757795.05865573,20245886.3835323,4640370.52008264,2174732.58102347,323584.457406099,2353365.10985461,1330231.6853007
2005,21,148.2347606502,58019847.3533227,5548426.86580187,38126923.3975513,403174.75021972,25229449.2850178,6352374.1479668,3607576.96534544,409829.732268215,2586326.5983047,282479.962950585
2005,22,148.2347606502,58169375.1621684,5725244.51461156,34727169.9513662,341150.191536002,21631816.335028,6412577.17242754,4823542.81301792,544470.174834463,2641928.00110777,252475.537894558
2005,23,148.2347606502,18203024.3624643,2153256.39985362,12731399.7783875,85473.6717018733,9111787.44574109,1838892.65319335,1189713.93349812,7622.71758704716,699398.334842409,65086.4632250335
2005,24,148.2347606502,90852958.8568982,8993693.18724168,58309733.0849383,83441.2633405162,41580441.3409221,9048554.95303087,4785193.87785529,70532.3337621738,2829975.28583069,35972.2556384772
2005,25,148.2347606502,223276453.664719,21539235.9232306,92968514.8269386,79479.8944767623,61684512.4800895,13376518.2361932,10176073.8009087,618046.278303887,3554090.14795693,15325.5934406358
2005,26,148.2347606502,153680197.839188,16852660.8892576,101935528.315707,363445.523254966,69035661.6893904,21512626.8892691,7460458.736934,978596.964314892,5592352.94231925,222077.024024
2005,27,148.2347606502,91936646.2318951,8932269.3381204,66266197.1053788,1956922.01368936,42004414.2417155,12123267.380052,6237376.86052121,1082074.36719039,5174243.58994395,1496236.99964217
2005,28,148.2347606502,31154950.4984382,3067028.84889349,20191945.7961532,333187.399731483,14561652.0441473,2824708.87400876,2040146.76704493,63646.0211489094,1783058.17913061,228296.096119552
2005,29,148.2347606502,88447211.2028054,8680324.93901688,58229834.2662053,1003298.17101157,39175747.0578077,10321603.8636172,5403103.46705331,831545.541869544,3905940.21292334,830138.212699516
