State,Year,totalSBLoans_1mil,cpi_1990,totalSBLoans_1mil_cpiadj,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj,sb1mil_loanRatio
01,2005,5334992,148.2347606502,3599015.4917775,63178417.0002398,6458115.87842569,41448285.989877,246726.098992573,29208778.947634,6701025.98816713,3741103.07105161,140266.177306295,3265578.36766303,199671.231275916,0.537084246223302
01,2006,5633741,154.4335307984,3648003.75337813,64772550.0093594,6371629.58639868,44066766.6282035,237904.169991389,31834405.1085165,6875173.82294014,3624030.31168577,127985.411744841,3145933.99534113,182703.689450294,0.530605312291301
01,2007,5827455,158.5920586446,3674493.57162274,66493782.7896335,7768835.20671791,45254527.7952484,229924.460636108,32939416.5027002,7328447.33450092,3424090.64752665,147937.676902555,3193198.80752966,179707.920356291,0.501401375203167
01,2008,4717790,166.4201201124,2834867.56097376,68352660.748894,8772906.35138548,45523732.1823701,236636.134147686,33072885.0063583,7538096.17574578,3160116.13911325,137995.717302204,2748483.457541,155250.980715412,0.376072087020473
01,2009,3318540,164.3745129502,2018889.63224208,69373145.7478287,7882598.70783342,46585083.5128835,219292.946164726,34612269.6978636,7337889.83405862,2888938.58119152,153030.259167632,2606658.31688901,149053.844302262,0.275132180762848
01,2010,2633016,166.2180911258,1584073.05857413,65064477.6743429,7896866.47555675,41919106.0291055,246619.746739645,31386746.7213765,6724441.07436548,2575035.9315979,247576.617014929,2441198.96514865,147449.097206891,0.235569475746147
01,2011,3086503,172.0395699358,1794065.74961318,62866646.7716957,7864468.06527974,38915645.3644352,246555.282509434,28243552.9587639,6962870.24294236,2434954.38503273,362033.372241017,2261479.43302344,138073.664250519,0.257661810003089
01,2012,3444860,174.8848853416,1969787.15071414,61538855.7466115,7635839.8112454,37969727.3323631,237185.259320814,25678483.1001711,7924790.96339442,2520492.57190546,349318.612396403,2114477.74326635,128838.505336218,0.248560139922028
01,2013,3462145,177.8855510292,1946276.68181531,61015689.9265426,7611703.9203476,38339600.6595331,244232.328131888,24527202.6031354,8853475.558237,2647718.44947797,374624.208297558,2078244.39304422,131706.58206034,0.219831937075215
01,2014,3041280,181.548176264,1675191.71086439,61280762.2170144,7710474.3489938,39148144.5795399,242815.44252652,23975321.6516814,9689303.67691454,2719674.04015375,376618.484772999,2089393.99539368,134939.07442997,0.172890825463098
01,2015,3273815,181.8741852284,1800043.80274677,63375568.2627183,7784550.07084909,41149014.521482,244031.695140972,24675251.8374342,10269778.3901698,2888022.45542144,389175.26675789,2143171.01104921,135952.409112184,0.175275817486945
01,2016,3254906,183.7774361808,1771112.96557529,66840474.8242564,8211609.57134061,43457807.4188655,239568.80407393,25715697.309073,11022746.6602927,3052773.38635681,408715.622018689,2305934.00954476,135086.22162159,0.160678007048405
01,2017,3394527,186.865346682,1816563.1350454,67029498.7169878,8250631.37461439,44056588.1742489,238047.850991827,26127987.3614614,10998829.7776377,3118529.4725383,436056.278114081,2380089.94897311,130722.711156935,0.165159673508063
01,2018,3832541,192.22,1993830.50671106,65181512.2519227,7978933.63680111,43553413.4759886,243093.986738655,25628464.9532738,10940784.9598925,3227140.64713427,442312.903732755,2455598.35261546,134939.693233212,0.182238341583368
02,2005,876403,148.2347606502,591226.373730322,6115719.44206656,721101.324354233,4209754.46375314,41053.3965481531,2798372.11954687,833185.951749866,323902.446690575,45503.6362068562,317013.808127772,15555.1988937474,0.709597146337648
