SBA.Physical.Declaration.Number,SBA.EIDL.Declaration.Number,FEMA.Disaster.Number,SBA.Disaster.Number,Damaged.Property.City.Name,Damaged.Property.Zip.Code,Damaged.Property.County.Parish.Name,Damaged.Property.State.Code,Total.Verified.Loss,Verified.Loss.Real.Estate,Verified.Loss.Content,Total.Approved.Loan.Amount,Approved.Amount.Real.Estate,Approved.Amount.Content,Approved.Amount.EIDL,Year
3367,9M90,,FL-L0166,ARCADIA,34266,DE SOTO,FL,5679,5679,0,8000,3000,5000,5000,2002
3367,9M90,,FL-L0166,BRADENTON,34205,MANATEE,FL,26960,14260,12700,35200,14300,20900,8200,2002
3367,9M90,,FL-L0166,BRADENTON,34207,MANATEE,FL,43501,43501,0,43600,43600,0,0,2002
3367,9M90,,FL-L0166,BRADENTON,34208,MANATEE,FL,12560,12560,0,0,0,0,0,2002
3367,9M90,,FL-L0166,BRANDENTON,34209,MANATEE,FL,218612,90312,128300,0,0,0,0,2002
3367,9M90,,FL-L0166,BUNNELL,32110,FLAGLER,FL,24674,20024,4650,0,0,0,0,2002
3367,9M90,,FL-L0166,CAPE CANAVERAL,32920,VOLUSIA,FL,24000,0,24000,102000,0,102000,78000,2002
3367,9M90,,FL-L0166,CRESCENT CITY,32112,PUTNAM,FL,54504,54504,0,69700,54600,15100,15100,2002
3367,9M90,,FL-L0166,DAYTONA BEACH,32118,VOLUSIA,FL,263496,171853,91643,304000,156300,147700,74800,2002
3367,9M90,,FL-L0166,DE LAND,32720,VOLUSIA,FL,21406,20406,1000,74200,20500,53700,52700,2002
3367,9M90,,FL-L0166,ENGLEWOOD,34223,CHARLOTTE,FL,832196,97409,734787,904300,734800,169500,100000,2002
3367,9M90,,FL-L0166,ENGLEWOOD,34224,CHARLOTTE,FL,21716,20516,1200,22300,20600,1700,500,2002
3367,9M90,,FL-L0166,ENGLEWOOD,34223,SARASOTA,FL,33054,33054,0,0,0,0,0,2002
3367,9M90,,FL-L0166,FLAGLER BEACH,32136,FLAGLER,FL,32114,31814,300,80000,31900,48100,47800,2002
3367,9M90,,FL-L0166,LAUREL,34275,SARASOTA,FL,3933,3933,0,0,0,0,0,2002
3367,9M90,,FL-L0166,LONGBOAT KEY,34228,SARASOTA,FL,249959,249959,0,0,0,0,0,2002
3367,9M90,,FL-L0166,NEW SMYRNA BCH,32168,VOLUSIA,FL,19497,19497,0,0,0,0,0,2002
